year,country,hospital,equipment,oem,model,sn,fix,result,notes
2011,,,Neonatologia,Fototerapia,Ohmeda,Biliblanket Plus,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Nebulizador,Neb-U-Lite LX,AP-100100,"Plumbing, Electric Simple, Power Supply",,X
2011,,,Neonatologia,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Electric Simple, Power Supply",,
2011,,,Neonatologia,Incubadora,ALG,Gigante,"Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Incubadora,Ohmeda,Ohio 1410,"Plumbing, Electric Simple, Power Supply",,
2011,,,Neonatologia,Incubadora,Gigante,ALG,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Fototerapia,Air Shields Vickers,Fluro-lite PT533-1,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,UPS,TSI Power,SLC-1200,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,UPS,TSI Power,SLC-1200,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Bomba de infusiòn,Samtronic,550T2,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Contador de oxigen medida,Chemtron,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Neonatologia,Reguladora de oxigeno medida,MADA Medical,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Neonatologia,Incubadora,Ohmeda,Ohio Care Plus,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,UPS,TSI Power,SLC-1200,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Bomba de infusiòn,Atom,P-600,"Plumbing, Motor, Electric Simple, Mechanical Simple, Power Supply",,
2011,,,Neonatologia,Oximetro,GE,TruSat,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Incubadora con humidadora,Ohmeda,Ohio Care Plus 2000,"Plumbing, Electric Simple, Power Supply",,
2011,,,Neonatologia,Incubadora,Ohmeda,Ohio Care Plus,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,UPS,TSI Power,SLC-1200,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Incubadora,Ohmeda,Ohio Care Plus,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Neonatologia,Bomba de infusiòn,Baxter,Flo-Gard 6201,"Plumbing, Electric Simple, Power Supply",,
2011,,,Neonatologia,Incubador,Airco,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Neonatologia,Concentradora de oxigen,BMD,Crossvent 2,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Neonatologia,Incubador,Airco,22.0,"Plumbing, Motor, Electric Simple, Power Supply",Repaired,
2011,,,Neonatologia,Comprimidora de aire,Timeter,Aridyne,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Lampara,,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Balanza de bebe,Continental,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Camma de Parto,Smith and Nephew,2605NLB,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Aspirador,MADA Medical,915CA18-911D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,UPS,TSI Power,SLC-600,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Cama bebe de calor,Ohmeda,IWS 3300,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Reguladora de oxigen medida,Western Medical,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Cama de Parto,Takizama,36-18,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Cama de Parto,Takizama,36-18,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Cama bebe de calor,Ohmeda,IWS 3300,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Reguladora de oxigen medida,Western Medical,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Aspirador,Gomco,789.0,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Balanza de bebe,Dectecto,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Làmpara de cirugìa (cielo),Apomatic,B1019-S,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Làmpara de cirugìa (cielo),Apomatic,B1019-S,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Sphygmomonometro,Trimline,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Balanza,Seca,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Lampara,,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Cama de Parto,,2040.0,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Lampara,,,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Monitor de paciente,GE,DP1100-EDAMT-SP,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,UPS,TSI Power,SLC-1800,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Cama,Hill-Rom,426.0,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Aspirador,MADA Medical,172BS-11,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Regulador de oxigeno medida,Western Medical,,"Electric Simple, Power Supply",,
2011,,,Labor y Parto,Cardiotocograph,Oxford,Sonicaid team IP,"Plumbing, Motor, Electric Simple, Power Supply",Repaired,
2011,,,Labor y Parto,UPS,GE,UPS1000ITSIT,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Maquina de Ultrasonido,GE,2270969.0,"Plumbing, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Maquina de Ultrasonido,Toshiba,Nemio 55a-55OA,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,UPS,APC,XS 1500,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Labor y Parto,Virus Buster,DA,DA-250,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Estufa,Majestic,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Concentradora de oxigen,Invacare,Platinum 5,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Bomba de infusiòn,Cardinal Health,25041RWN1,"Plumbing, Motor, Electric Simple, Power Supply",Repaired,
2011,,,Sala de Observacion de Pediatrica,Regulador de oxigen medida,MADA Medical,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Oximetro,GE,Ohmeda TruSat,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,UPS,TSI Power,SLC-600,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Aspirador,Gomco,8840.0,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Regulador de oxigen medida,Amico-Amvex,FM-C05-003,"Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Regulador de oxigen medida,Amico-Amvex,FM-C05-003,"Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Cama de bebe,,,"Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Cama de bebe,,,"Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Cama de bebe,,,"Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,ECG,Biosys-Guardian,BPM-700P,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Monitor de Patiente,GE,DP1100-EDAMT-SP,"Plumbing, Motor, Electric Simple, Power Supply",Repaired,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Cama de bebe,,,"Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Cama de bebe,,,"Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Cama de bebe,,,"Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Balanza,,,"Electric Simple, Power Supply",Repaired,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Balanza,Seca,,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Brazalete de pesiòn arterial,Novation,,"Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Brazalete de pesiòn arterial,Labtron,,"Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Brazalete de pesiòn arterial,Labtron,,"Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Regulador de oxigeno medida,Amvex,,"Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Regulador de oxigeno medida,Chemtron,,"Electric Simple, Power Supply, Other",,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Nebulizador,American Bantex,3200 AlphaNeb Plus,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Incubadora,Gigante,ALG,"Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Monitor de paciente,GE,DP1100-EDAMT-SP,"Plumbing, Motor, Electric Simple, Power Supply",Repaired,
2011,,,Sala de Observacion de Pediatrica,Balanza de bebe,Pelouse,3865-01,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Observacion de Pediatrica,Balanza,Seca,,"Electric Simple, Power Supply",Repaired,
2011,,,Sala de Observacion de Pediatrica,Balanza de bebe,Hospi-Medic,,"Electric Simple, Power Supply",Repaired,
2011,,,Odontologia,Silla de dentista,Den-tal-ez,PL-200,"Plumbing, Electric Simple, Power Supply",,
2011,,,Odontologia,Tazon (silla de dentista),Vacudent,CPM3,"Plumbing, Electric Simple, Power Supply, Other",,
2011,,,Odontologia,Soporte (silla de dentista),Vacudent,FLP,"Plumbing, Electric Simple, Power Supply, Other",,
2011,,,Odontologia,Bomba de sucion,Thomas,1130E,"Plumbing, Electric Simple, Power Supply",,
2011,,,Odontologia,Lampara de ultraviolet (para curing),Dentsply,QHL75,"Plumbing, Electric Simple, Power Supply",,
2011,,,Odontologia,Ultrasonido Scaler,ART,ART-M1 506,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Odontologia,X-Ray maquinas de dientes,GE,,"Plumbing, Motor, Electric Simple, Power Supply, Other",,
2011,,,Odontologia,Autoclavo,Dri-Clave,150.0,"Plumbing, Electric Simple, Power Supply",,
2011,,,Odontologia,Amalgamador,Degussa,Dentomat 3,"Plumbing, Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 2,Maquina de anestesia,Drager,Narkomed 2B,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 2,Vaporazidor,Drager,R Vapor,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 2,Vaporazidor,Drager,Vapor 2000,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 2,Vaporazidor,Ohmeda,Tec 6,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 2,Incubadora,Athena,C100 200-2-02,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 3,Monitor de Patiente,Spacelabs,90308-11,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 3,Bomba de alternador precion,Invacare Careguard,CG9701,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 3,Balanza,Detecto,18056.0,"Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 3,Ventilador,Sanyo,EF-Q16F,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 3,Pulmona,Baxter,5M5516,"Plumbing, Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 3,Pulmona,Baxter,5M5516,"Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 5,Maquina de Patiente Calor,Mallincrodt Medical,Warm Touch 5200,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Microscopio de Ojos,Zeiss,310493.0,"Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Defibrillador,Burdick Corp Milton,DC-190,"Plumbing, Motor, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Desfibrillador,Ohio,360.0,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Nebulizador,Ohio,360.0,"Plumbing, Motor, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Nebulizador,Ohio,360.0,"Motor, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Balanza,Detecto,,"Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Autoclavo,Oppici,,"Motor, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Dental X-Ray Controllador,Vacudent,Lumix 65 SR-20,"Plumbing, Electric Simple, Mechanical Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Regulador de sucion,Vacutron,,"Motor, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Regulador de sucion,Vacutron,,"Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Regulador de sucion,Vacutron,,"Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Microscopio de Ojos,Zeiss,,"Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Ultravioleta Làmpara,Brandt,Sperti 61334,"Plumbing, Electric Simple, Power Supply, Other",Repaired,
2011,,,Almacen & Bodega 5,Ultravioleta Làmpara,Brandt,Sperti 61334,"Plumbing, Electric Simple, Power Supply, Other",Repaired,
2011,,,Almacen & Bodega 5,Autoclavo,All American,1915X,"Motor, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Autoclavo,All American,1915X,"Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 5,Autoclavo,All American,1915X,"Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 5,Motor,Marathon Electric,YVM182TTDR7026DH,"Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Estufa para esterilizacion,Gnatus,Olidef ez,"Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Microscopio de cirugia,JKH,39005.0,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Cama bebe de calor,Olympic,33.0,"Plumbing, Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 5,Aspirador,Gomco,6650.0,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Electrocardiografo,Marquette,MAC6,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Cama bebe de calor,Air-Shields,7830.0,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Bomba de infusiòn mechanico,Sybrow Taylor,A-1016,"Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 5,Bomba de infusiòn mechanico,Sybrow Taylor,A-1016,"Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 5,Bomba de infusiòn mechanico,Sybrow Taylor,A-1016,"Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 5,Bomba de infusiòn mechanico,Sybrow Taylor,A-1016,"Electric Simple, Power Supply",,
2011,,,Almacen & Bodega 5,Desfibrillador,MRL,360SLX,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Desfibrillador,MRL,360SLX,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Almacen & Bodega 5,Glucometro,GTS,Accudata,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Endoscopio,Reguladora de oxigeno medida,MADA Medical,1020.0,"Electric Simple, Power Supply",,
2011,,,Endoscopio,Balanza de bebe,Detecto,509.0,"Electric Simple, Power Supply",Repaired,
2011,,,Endoscopio,Aspirador,Gomco,8840.0,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Endoscopio,Regulador de oxigeno medida,Gentec,230M-15,"Electric Simple, Power Supply",,
2011,,,Endoscopio,Endoscopio,Pentax,,"Electric Simple, Power Supply",,
2011,,,Endoscopio,Monitor de paciente,Invivo Research,3250-120,"Plumbing, Motor, Electric Simple, Power Supply",Repaired,
2011,,,Sala de Emergencia,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Nebulizador,Medline,HCS 300,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Oximetro,Mellcor,N-1000,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Sala de Emergencia,Aspirador,Gomco,3840.0,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Oximetro,GE,6051-0001-190,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Monitor de paciente,GE,DP1100-EDAMT-SP,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Sala de Emergencia,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Bomba de infusiòn,Cardinal Health,25041RWN1,"Plumbing, Motor, Power Supply",,
2011,,,Sala de Emergencia,Bomba de infusiòn,Cardinal Health,25041RWN1,"Plumbing, Motor, Power Supply",,
2011,,,Sala de Emergencia,Maquina de EKG,Marquette,,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Oximetro,Mellcor,N-200,"Plumbing, Power Supply",,
2011,,,Sala de Emergencia,Aspirador,MADA Medical,172BS-11,"Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Lampara,,,"Motor, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Aspirador,MADA Medical,915CA18,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Lampara,,,"Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Balanza de bebe,Detecto,509.0,"Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Balanza,Seca,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Balanza de bebe,Pelstar,386KGS-01,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Abrazalete de pesiòn arterial,ALP,K2 Adult Cuff,"Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Nebulizador,Sunrise (Devilbiss),PulmoAide 5650D,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Microscopio,Gyne-tech,101.0,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Balanza,Global Links,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Balanza,Health-o-meter,,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Sala de Emergencia,Balanza de bebe,Detecto,,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Sala de Emergencia,Sphymomanometro,PyHah,Trimline,"Electric Simple, Power Supply",Repaired,
2011,,,Sala de Emergencia,Abrazalete de pesiòn arterial,ALP,K2 Adult Cuff,"Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Cardiotocograph,Oxford,962700.0,"Plumbing, Electric Simple, Power Supply, Installation/Training",,
2011,,,Sala de Emergencia,Lampara,,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Cama de Parto,,2040.0,"Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,EKG,Burdick,Ek/5A,"Electric Simple, Power Supply",Repaired,
2011,,,Sala de Emergencia,Lampara para mostrar X-Ray,,,"Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Lampara,,,"Plumbing, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Lampara,,,"Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Lampara para mostrar X-Ray,Priess,49142.0,"Plumbing, Motor, Electric Simple, Power Supply",,
2011,,,Sala de Emergencia,Lampara para mostrar X-Ray,Taiwan IHA,,"Motor, Power Supply",,
2011,,,Aire Central,Concentradora de oxigen,Ohio,Unimatic II,"Motor, Electric Simple, Power Supply",,
2011,,,Aire Central,Concentradora de NO,Ohio,Unimatic II Nitrous Oxide,"Motor, Electric Simple, Power Supply",,
2011,,,Aire Central,Electrocardiografo,Tektronix,414.0,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,,,Aire Central,Microscopio,Leisgang Medical,LM-150Z,"Plumbing, Electric Simple, Power Supply",Repaired,
2011,Tanzania,Marangu Lutheran Hospital/Marangu,Other,Bego,Hydrofix,,Plumbing,Repaired,Hydraulic Press; Low oil and oil leakage
2011,Tanzania,Marangu Lutheran Hospital/Marangu,Centrifuge,Kuboto,,,"Mechanical Simple, Power Supply",Repaired,"Door mechanism jammed, replaced plug"
2011,Tanzania,Marangu Lutheran Hospital/Marangu,Oxygen Concentrator,Nidek,Nuvo,,"Plumbing, Motor",Repaired,Broken container; broken metal pipe; crack in motor
2011,Tanzania,Marangu Lutheran Hospital/Marangu,Other,Cast Saw,,,Mechanical Simple,Repaired,"Grease build up, brushes needed readjustment"
2011,Tanzania,Marangu Lutheran Hospital/Marangu,Oxygen Concentrator,Mini DeVO2,MC 44,,Electric Simple,Repaired,Blown Fuse was replaced
2011,Tanzania,Marangu Lutheran Hospital/Marangu,"Autoclave (lab, surgery, and other)",All American,,,"Plumbing, Electric Simple",Repaired,"Replaced burnt plug and broken fuse, Cleaned scale/rust"
2011,Tanzania,Marangu Lutheran Hospital/Marangu,"Lamp, examination",Colonoscopy Probe,,,Installation/Training,Repaired,"User error, returned with a quick start guide"
2011,Tanzania,Marangu Lutheran Hospital/Marangu,Other,Wall Outlet,,,Installation/Training,Repaired,Extension cord was corrupt
2011,Tanzania,Marangu Lutheran Hospital/Marangu,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",ERKA,,,Mechanical Simple,Repaired,Loose tubing caused leak
2011,Tanzania,Marangu Lutheran Hospital/Marangu,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",F. Bosch,,,Mechanical Simple,Repaired,"Misaligned dial, faulty tubng"
2011,,,Other,Metal Cart,,,Mechanical Simple,Repaired,tightened screws of entire cart
2011,,,Microscope ,Nikon,Labophot,,"Electric Simple, Other",Abandoned,"missing light, really dirty, needs more work"
2011,,,Aspirator/Suction Machine,Super Suction Unit,GE-135,,"Electric Simple, Other",Abandoned,"Missing collection jar, pressure not high enough to use"
2011,,,Air Compressor,motor from Nuvo oxygen concentrator,,,"Plumbing, Electric Simple",Repaired,needed 15 uf capacitor and new hosing
2011,,,Blood Bank Refrigerator,Safe,,m21100890200,Other,Abandoned,"Problem with frion, can't do ourselves"
2011,,,other,Thermo-Original Multiskan Ex,Elisa Reader,3550902650.0,Installation/Training,Repaired,Trouble running program properly/programmed wrong
2011,,,Other,Power Socket,,,,Repaired,Off and on working- checked wiring/voltage
2011,,,Other,Lights,,,,Abandoned,3/4 of Labor Ward lights not working- entire building wired wrong
2011,,,Other,Fully- Chemistry Analyzer,,80198.0,Installation/Training,Repaired,Needed printer below to be installed
2011,,,Printer,HP,LaserJet,1320.0,Installation/Training,Repaired,"Ran new update, installed printer to analyzer"
2011,,,Electro surgery Unit (ESU),Visco,RH-2000 Plus RFDU,,Electric Simple,Repaired,"Replaced switch, rewired power supply"
2011,,,other,heating element/boiler,,,Electric Simple,Repaired,"Destroyed wiring, overheated"
2011,,,Incubator (infant),Delta Medical Appliances,Premature Baby Incubator DPBI-1,,"Electric Simple, Installation/Training",Repaired,
2011,,,Scales (laboratory and in wards),Seca ,Digital Baby scale,354.0,Power Supply,Repaired,Needed new batteries and battery holder
2011,,,Oxygen Concentrator,Nuvo,,,"Plumbing, Electric Simple",Repaired,Needed new jar and plug for correct wall outlet
2011,,,other,Philips Iron,,,Electric Simple,Repaired,
2011,,,Other,wheelchair,,,Mechanical Simple,Repaired,leg support had fallen off
2011,,,Infant Warmer (radiant or other),Nova,,NH-1208-11,Other,Abandoned,"wouldn't turn on, couldn't get into complete circuitry "
2011,,,Other,emergency light and sockets,,,Other,Abandoned,"wired improperly, batteries completely dead"
2011,,,Operating Table,Asco,Table Operating C-arm compatible gearmatic,4191.0,Other,Repaired,Hydraulic pump was clogged
2011,,,Oxygen Concentrator,Nidek Medical,Nuvo Lite,413.0,"Motor, Power Supply",Repaired,"Not working properly, no oxygen coming out"
2011,,,Other,hot plates,,,Electric Simple,Repaired,"Not working properly- really old, rusted- now one works"
2011,,,other,Thermo- Wellwash,4MK2,006-9-6528,"Plumbing, Installation/Training",Repaired,Fixed seal and found online manual to teach lab workers
2011,,,Dental Drilling Machine,Dental International,,,Other,Abandoned,"pieces of handle broken off, constantly blowing air, runs but very inconvenient/poor design"
2011,,,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",2.0,,,,Repaired,Didn't have stethoscope to check?
2011,,,other,electric kettle- Olympia,)E-18W,,Electric Simple,Repaired,"burnt out, had to rewire"
2011,,,other,Power Socket,,,Electric Simple,Repaired,cheap socket had broken so we replaced
2011,,,other,wheelchairs x 2,,,Power Supply,Repaired,"brand new, needed tightening"
2011,,,"Autoclave (lab, surgery, and other)",Nuve,Steam Sterilizer,03-0586,"Power Supply, Other",Repaired,"three-phase wiring wrong, 2 were in same phase"
2011,,,Aspirator/Suction Machine,Asco,Tornado series high capacity high suction,106465.0,Other,Abandoned,"motor wouldn’t work, added oil and got running but one side of machine didn't create pressure for suction (horrible design and misaligned)"
2011,,,"Lamp, surgical",Asco,Ceiling Shadowless surgical operating lamp,110394.0,Mechanical Simple,Repaired,Tightened drooping arm
2011,,,other,Door handle,,,,Repaired,screws missing/fell off door
2011,Tanzania,St. Elizabeth / Arusha,Electrosurgery Unit (ESU),TUV Stuttgart Gepruft Sicherheit,10101.0,000-E-1423,Electric Simple,Repaired,"Cutter's plug was previously replaced with another plug, however soldering job was exposed. We cut and made a new solder, with shrink tubing to cover"
