country,fix,equipment,engineers,sn,oem,year,model,hospital,notes,result
Nicaragua,Other,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Laura Wadleigh, Eva Tuszka",,Reister,2014,Big Ben round,Cesar Molina Amador/Matagalpa,"General Maintenance: paint, new wheels, fix leaks",Repaired
Nicaragua,Other,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Laura Wadleigh, Eva Tuszka",,Reister,2014,Big Ben round,Cesar Molina Amador/Matagalpa,"General Maintenance: paint, new wheels, fix leaks",Repaired
Nicaragua,Motor,Centrifuge,"Laura Wadleigh, Eva Tuszka",?10536,"Cannic, Inc",2014,Table Top Centrifuge PLC-0?,Cesar Molina Amador/Matagalpa,Tried bypassing electrical circuits and replacing a carbonator but the rotor was too worn to work any more.,Abandoned
Nicaragua,Plumbing,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Laura Wadleigh, Eva Tuszka",10119018.0,Lifetime Certified,2014,CE 0197,Cesar Molina Amador/Matagalpa,Fixed Leak,Repaired
Nicaragua,Mechanical Simple,Microscope ,"Laura Wadleigh, Eva Tuszka",121515.0,LW Scientific Inc.,2014,Revelation III,Cesar Molina Amador/Matagalpa,Loose Stage,Repaired
Nicaragua,Plumbing,"Autoclave (lab, surgery, and other)","Laura Wadleigh, Eva Tuszka",428482.0,J.P. Selecta,2014,Autoclave 4001157,Cesar Molina Amador/Matagalpa,"A valve wasn't working right.  We didn't help fix this very much at all, it was almost all the technicians",Repaired
Nicaragua,Mechanical Simple,Scales (laboratory and in wards),"Laura Wadleigh, Eva Tuszka",3P7044,Precisa,2014,2MM precisa series,Cesar Molina Amador/Matagalpa,We replaced the broken bar for measuring height attached to the scale,Repaired
Nicaragua,Other,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Laura Wadleigh, Eva Tuszka",ce 0124,Reister,2014,Big Ben round,Cesar Molina Amador/Matagalpa,Missing parts,Abandoned
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",0705605404,"GAST Manufacturing, Iinc.",2014,DOL-702A-AA,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",0705605405,"GAST Manufacturing, Iinc.",2014,DOL-702A-AA,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",1009603819.0,"GAST Manufacturing, Iinc.",2014,DOL-702A-AA,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",1206605241.0,"GAST Manufacturing, Iinc.",2014,DOL-702A-AA,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",0705605397,"GAST Manufacturing, Iinc.",2014,DOL-702A-AA,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",1105625770,"GAST Manufacturing, Iinc.",2014,DOL-702A-AA,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",1206605296,"GAST Manufacturing, Iinc.",2014,DOL-702A-AA,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",1330687,Salter aire plus compressor,2014,8350.0,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Air Compressor,"Laura Wadleigh, Eva Tuszka",01070478380,Respironics,2014,Inspiration Elite HS456,Cesar Molina Amador/Matagalpa,"Nebulizer: General Maintenance: took apart and cleaned, replaced filters, replaced missing feet.",Repaired
Nicaragua,Other,Other,"Laura Wadleigh, Eva Tuszka",529,ACOMA Medical Industry Co. Ltd.,2014,Lung Ventilator Art-1000,Cesar Molina Amador/Matagalpa,Ventalator:General Maintenance:,Repaired
Nicaragua,Mechanical Simple,Microscope ,"Laura Wadleigh, Eva Tuszka",3J16773,Olympus,2014,,Cesar Molina Amador/Matagalpa,The part for rotating the lens had come loose and some ball bearings fell out.  We replaced the ball bearings we found and tightened it back up.,Repaired
Tanzania,Mechanical Simple,Stethoscopes,"Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,Replaced missing screw (medical dept),Repaired
Tanzania,,Stethoscopes,"Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,Replace earpiece (medical dept),Repaired
Tanzania,Power Supply,Thermometers,"Ashley Reid, David Kovacs, Kj Stime",1234.0,Hartmann,2014,Thermoval Basic,Mawenzi / MOSHI,Changed battery,Repaired
Tanzania,Mechanical Simple,Aspirator/Suction Machine,"Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,"Leaky jar lid, staff training",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Kj Stime",,Risestar,2014,,Mawenzi / MOSHI,"Eye dept, stuck screw",Repaired
Tanzania,,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,Maternity dept ,Repaired
Tanzania,,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,Maternity dept ,Abandoned
Tanzania,,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,Medical dept (needs new tubing),Repaired
Tanzania,Mechanical Simple,"Bed, delivery","Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,"Medical dept, ",Repaired
Tanzania,Mechanical Simple,"Furniture (chairs, tables, and beds)","Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,Loose screw ,Repaired
Tanzania,Plumbing,"Water Purifier (for lab, in wards) ","Ashley Reid, David Kovacs, Kj Stime",,Spring,2014,,Mawenzi / MOSHI,Epoxied 6 holes in the bottom of container,Repaired
Tanzania,Mechanical Simple,Aspirator/Suction Machine,"Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,"Leaky jar lid, staff training",Repaired
Tanzania,Mechanical Simple,Aspirator/Suction Machine,"Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,"Leaky jar lid, staff training",Repaired
Tanzania,Mechanical Simple,Aspirator/Suction Machine,"Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,"Leaky jar lid, staff training",Repaired
Tanzania,Mechanical Simple,Aspirator/Suction Machine,"Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,Air leak inside machine,Abandoned
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Kj Stime",90767707.0,Risestar,2014,precisaN,Mawenzi / MOSHI,"Swapped bag with another BP cuff, maternity",Repaired
Tanzania,Electric Simple,Water Bath (laboratory),"Ashley Reid, David Kovacs, Kj Stime",,Shakit,2014,,Mawenzi / MOSHI,Fixed power cord,Repaired
Tanzania,Mechanical Simple,Other,"Ashley Reid, David Kovacs, Kj Stime",2012007192.0,Titanox SRL,2014,M600826/C,Mawenzi / MOSHI,"Curtain, repaired with metal rod and duct tape",Repaired
Tanzania,Mechanical Simple,Other,"Ashley Reid, David Kovacs, Kj Stime",2012007192.0,Titanox SRL,2014,M600826/C,Mawenzi / MOSHI,"Curtain, repaired with string and tape, missing top rod",Repaired
Tanzania,Electric Simple,Infant Warmer (radiant or other),"Ashley Reid, David Kovacs, Kj Stime",,,2014,,Mawenzi / MOSHI,"Clogged fuse holder, broken diode, broken temperature probe",Repaired
Tanzania,Electric Simple,Microscope ,"Ashley Reid, David Kovacs, Kj Stime",312099.0,Topcon,2014,,Mawenzi / MOSHI,"Changed light bulb, reattached dial",Repaired
Tanzania,Installation/Training,Suction Pump,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Atmos ,2014,C 451 ,"KCMC, Moshi","filters, tubing connections, made quick start guide for operation",Repaired
Tanzania,Mechanical Simple,Incubator,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Atom,2014,V - 85MC,"KCMC, Moshi","missing hole covers, broken latch, missing humidifer, alarms",Repaired
Tanzania,Electric Simple,Cast cutter,"Ashley Reid, David Kovacs, Katrina Jene Stime",72294600231.0,Fein (Germany),2014,FMM250,"KCMC, Moshi",change 3 prong plug to 2 prong plug ,Repaired
Tanzania,Other,External Harddrive ,"Ashley Reid, David Kovacs, Katrina Jene Stime",,WD ,2014,Passport ,"KCMC, Moshi",download software to recover files ,Repaired
Tanzania,Mechanical Simple,Sphygomanometer,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Geratherm desktop ,2014,GP 6621,"KCMC, Moshi",leakage in bag ,Repaired
Tanzania,Electric Simple,Boiler,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Marshall Fowler,2014,SS1320 2005,"KCMC, Moshi",broken circuit board ,Abandoned
Tanzania,Mechanical Simple,Isoflourine container ,"Ashley Reid, David Kovacs, Katrina Jene Stime",D12100584,Penlon,2014,Sigma Delta Stephan Intermed,"KCMC, Moshi","broken spring, missing screw for latch system",Repaired
Tanzania,Mechanical Simple,Oxygen Concentrator,"Ashley Reid, David Kovacs, Katrina Jene Stime",8207587.0,Nidek Medical,2014,M5C5/Mark5 NUVO/STD,"KCMC, Moshi",cut off filters at ends of bottle tubes,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Automatic (NIBP)","Ashley Reid, David Kovacs, Katrina Jene Stime",9300-K8048,CE,2014,dinamap xl vital signs monitor,"KCMC, Moshi","Patched hole, sewed cuff",Repaired
Tanzania,,ECG Machine,"Ashley Reid, David Kovacs, Katrina Jene Stime",,S & W Neoscope,2014,,"KCMC, Moshi",Never worked,Abandoned
Tanzania,Mechanical Simple,Oxygen Concentrator,"Ashley Reid, David Kovacs, Katrina Jene Stime",8207587.0,nidek medical,2014,M5C5/Mark5,"KCMC, Moshi",untight connection in tubing,Repaired
Tanzania,Installation/Training,Aspirator/Suction Machine,"Ashley Reid, David Kovacs, Katrina Jene Stime",35888.0,Einar Egnell,2014,EKP-5pF ,"KCMC, Moshi",Collection bottles connected in series,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Automatic (NIBP)","Ashley Reid, David Kovacs, Katrina Jene Stime",,Geratherm desktop,2014,,"KCMC, Moshi","missing cuff, 4 AA batteries ",Repaired
Tanzania,Mechanical Simple,Other,"Ashley Reid, David Kovacs, Katrina Jene Stime",,EZ Flow Max ,2014,,"KCMC, Moshi","Nebulizer, blocked tube",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Katrina Jene Stime",,,2014,,"KCMC, Moshi","Loose Dial, Pediatrics",Repaired
Tanzania,Installation/Training,Infant Warmer,"Ashley Reid, David Kovacs, Katrina Jene Stime",SF810340317PA,GE,2014,Lullaby 2041599-001,"KCMC, Moshi","thermometer placed before machine, heating element always on",Repaired
Tanzania,Mechanical Simple,Oxygen Concentrator,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Nidek Medical,2014,M5C5/Mark5 NUVO/STD,"KCMC, Moshi","cut off filters at ends of bottle tubes, replaced filter in back, tightened screws",Repaired
Tanzania,Mechanical Simple,Oxygen Concentrator,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Nidek Medical,2014,M5C5/Mark5 NUVO/STD,"KCMC, Moshi","cut off filters at ends of bottle tubes, replaced filter in back, tightened screws",Repaired
Tanzania,Mechanical Simple,Oxygen Concentrator,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Nidek Medical,2014,M5C5/Mark5 NUVO/STD,"KCMC, Moshi","cut off filters at ends of bottle tubes, replaced filter in back, tightened screws",Repaired
Tanzania,Mechanical Simple,Pulse Oximeter,"Ashley Reid, David Kovacs, Katrina Jene Stime",,,2014,,"KCMC, Moshi","medical endoscopy, extension cord broken, removed extension cord, cleaned probe",Repaired
Tanzania,Mechanical Simple,Other,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Nebulizer,2014,,"KCMC, Moshi",Missing part,Abandoned
Tanzania,Mechanical Simple,Other,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Nebulizer,2014,,"KCMC, Moshi",Missing part,Abandoned
Tanzania,Mechanical Simple,Other,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Nebulizer,2014,,"KCMC, Moshi",Missing part,Abandoned
Tanzania,Mechanical Simple,Pulse Oximeter,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Novametrix Medical System Inc,2014,2001 Mars Tech,"KCMC, Moshi",Many broken components,Abandoned
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Katrina Jene Stime",,Boso,2014,,"KCMC, Moshi",Loose Screw,Repaired
Tanzania,Electric Simple,Infusion pumps,"Ashley Reid, David Kovacs, Katrina Jene Stime",6000LB0016,Ivac Tiva,2014,P6000,"KCMC, Moshi","Cleared RAM, recharged RAM battery, missing calibration tools, repaired but unable to be used",Abandoned
Tanzania,Mechanical Simple,Other,"Ashley Reid, David Kovacs, Katrina Jene Stime",,GCE Nediline,2014,Oxylitre,"KCMC, Moshi","Pressure gauge for oxygen cylinder, epoxied",Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Katrina Jene Stime",,,2014,,"KCMC, Moshi",Loose screw in diaphragm,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Katrina Jene Stime",,,2014,,"KCMC, Moshi","leak in tube, cut tube",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Katrina Jene Stime",,,2014,,"KCMC, Moshi",user error,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Ashley Reid, David Kovacs, Katrina Jene Stime",,,2014,,"KCMC, Moshi",bent needle,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Automatic (NIBP)","Ashley Reid, David Kovacs, Katrina Jene Stime",,Geratherm desktop ,2014,GP 6621,"KCMC, Moshi",Replaced leaky bag,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Automatic (NIBP)","Ashley Reid, David Kovacs, Katrina Jene Stime",,Geratherm desktop ,2014,GP 6621,"KCMC, Moshi",Missing bag,Abandoned
Tanzania,Power Supply,Thermometers,"Ashley Reid, David Kovacs, Katrina Jene Stime",,A.I.N.E.,2014,,"KCMC, Moshi",Dead batteries,Repaired
Tanzania,Power Supply,Thermometers,"Ashley Reid, David Kovacs, Katrina Jene Stime",,A.I.N.E.,2014,,"KCMC, Moshi",Dead batteries,Repaired
Tanzania,Power Supply,Thermometers,"Ashley Reid, David Kovacs, Katrina Jene Stime",,A.I.N.E.,2014,,"KCMC, Moshi",Dead batteries,Repaired
Tanzania,Power Supply,Thermometers,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Microlite AG,2014,MT3001 EZ,"KCMC, Moshi",Missing batteries,Abandoned
Tanzania,Power Supply,Other,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Dinamap,2014,728-634A,"KCMC, Moshi","Vital signs monitor, blown fuses, discharged battery, transformer not working, cap burned, tubes not connected",Repaired
Tanzania,Power Supply,Other,"Ashley Reid, David Kovacs, Katrina Jene Stime",3727A20688,HP Omnicare,2014,M1204A,"KCMC, Moshi","Vital signs monitor, loose connection to power source",Repaired
Tanzania,Mechanical Simple,Other,"Ashley Reid, David Kovacs, Katrina Jene Stime",,Mindray,2014,Datascope Accutorr,"KCMC, Moshi","Vital Signs Monitor, Leaky tubing, replaced tubing",Repaired
Rwanda,Other,Fetal steth (fetoscope or  Doppler),"Katie Diguette, Haley Poarch",AANAB0144,Bistos,2014,BT-300,Karongi Hospital/ Kibuye,"Fetal Monitor - advanced, unidentifiable circuit board error",Abandoned
Rwanda,Installation/Training,Incubator (infant),"Katie Diguette, Haley Poarch",1111XP05551201,GE,2014,Lullaby Incubator XP,Karongi Hospital/ Kibuye,User Error,Repaired
Rwanda,Installation/Training,Breast Pump ,"Katie Diguette, Haley Poarch",,Gima,2014,Mamilat 28148,Karongi Hospital/ Kibuye,Missing piece/user error,Repaired
Rwanda,Mechanical Simple,"Lamp, examination","Katie Diguette, Haley Poarch",,Sparx,2014,"2Amp, 240 Volt",Karongi Hospital/ Kibuye,Used parts from three lamps to fix two,Repaired
Rwanda,Mechanical Simple,"Lamp, examination","Katie Diguette, Haley Poarch",,Sparx,2014,"2Amp, 240 Volt",Karongi Hospital/ Kibuye,Used parts from three lamps to fix two,Repaired
Rwanda,Mechanical Simple,"Lamp, examination","Katie Diguette, Haley Poarch",,Sparx,2014,"2Amp, 240 Volt",Karongi Hospital/ Kibuye,Used parts from three lamps to fix two,Abandoned
Rwanda,Electric Simple,"Lamp, surgical","Katie Diguette, Haley Poarch",1.00205220664e+11,Ondal,2014,Acrobat Swing,Karongi Hospital/ Kibuye,replaced lightbulb and fuse,Repaired
Rwanda,Installation/Training,Air Compressor,"Katie Diguette, Haley Poarch",,Mastercraft,2014,8 gallon,Karongi Hospital/ Kibuye,user error,Repaired
Rwanda,Mechanical Simple,Dental Drilling Machine,"Katie Diguette, Haley Poarch",,,2014,,Karongi Hospital/ Kibuye,jammed drill bit,Repaired
Rwanda,Electric Simple,Infant Warmer (radiant or other),"Katie Diguette, Haley Poarch",41566.0,Weyer,2014,Ceramotherm 1000,Karongi Hospital/ Kibuye,fuse,Repaired
Rwanda,Other,Infant Warmer (radiant or other),"Katie Diguette, Haley Poarch",41494.0,Weyer,2014,Ceramotherm 1000,Karongi Hospital/ Kibuye,heating element broken- circuit board error,
Rwanda,Other,"Blood Pressure Device, Automatic (NIBP)","Katie Diguette, Haley Poarch",1157801938.0,Honsun,2014,LD578,Karongi Hospital/ Kibuye,leak in air bladder,Repaired
Rwanda,Other,"Blood Pressure Device, Automatic (NIBP)","Katie Diguette, Haley Poarch",61108100324.0,Gittoes,2014,EM232288,Karongi Hospital/ Kibuye,"leak in air bladder, replaced batteries",Repaired
Rwanda,Electric Simple,Other,"Katie Diguette, Haley Poarch",2045676.0,Emkay,2014,EK-06,Karongi Hospital/ Kibuye,universal outlet surge protector,Repaired
Rwanda,Motor,Shaker Machine (laboratory),"Katie Diguette, Haley Poarch",,Pioway,2014,DSR-10B,Karongi Hospital/ Kibuye,broken belt (Rufungo Health Center),Repaired
Rwanda,Installation/Training,Incubator (infant),"Katie Diguette, Haley Poarch",42808.0,Weyer,2014,WY2401,Karongi Hospital/ Kibuye,Replaced battery and reset system,Repaired
Rwanda,Installation/Training,Incubator (infant),"Katie Diguette, Haley Poarch",42814.0,Weyer,2014,WY2401,Karongi Hospital/ Kibuye,Replaced battery and reset system,Repaired
Rwanda,Installation/Training,Incubator (infant),"Katie Diguette, Haley Poarch",42803.0,Weyer,2014,WY2401,Karongi Hospital/ Kibuye,Replaced battery and reset system,Repaired
Rwanda,Mechanical Simple,Anesthesia Machine,"Katie Diguette, Haley Poarch",12934.0,North American Dragger,2014,Narkomed 4,Karongi Hospital/ Kibuye,Replaced leaking tubes,Repaired
Rwanda,Electric Simple,"Autoclave (lab, surgery, and other)","Katie Diguette, Haley Poarch",LSK-5D-2494,Eschmann,2014,8702201.0,Karongi Hospital/ Kibuye,door lock,Abandoned
Rwanda,Mechanical Simple,Scales (laboratory and in wards),"Katie Diguette, Haley Poarch",2.72504704518e+12,seca,2014,725 1021009,Karongi Hospital/ Kibuye,calibrated ,Repaired
Rwanda,Power Supply,"Autoclave (lab, surgery, and other)","Katie Diguette, Haley Poarch",SED-4L-5637,Eschmann,2014,87-028-04,Karongi Hospital/ Kibuye,replace power cord,Repaired
Rwanda,Mechanical Simple,Anesthesia Machine,"Katie Diguette, Haley Poarch",,North American Dragger,2014,Narkomed 2B,Karongi Hospital/ Kibuye,Replaced tubes,Repaired
Rwanda,Electric Simple,X-Ray Film View Box,"Katie Diguette, Haley Poarch",92793.0,Medivance Instruments Limited,2014,Velopex Mini Viewer,Karongi Hospital/ Kibuye,,Repaired
Rwanda,,Other,"Katie Diguette, Haley Poarch",1012011585.0,Celox,2014,CE-1012,Karongi Hospital/ Kibuye,tea kettle,
Rwanda,Other,Oxygen Concentrator,"Katie Diguette, Haley Poarch",801012.0,Longfei,2014,LFY-I-5E,Karongi Hospital/ Kibuye,"replaced capacitor, replaced tubing, fixed switch",Repaired
Rwanda,,Oxygen Concentrator,"Katie Diguette, Haley Poarch",8010185.0,Longfei,2014,JEL MP-08,Karongi Hospital/ Kibuye,oxygen too low,Abandoned
Rwanda,,Photocopier,"Katie Diguette, Haley Poarch",21PHW16968,Canon,2014,Image Runner 2420,Karongi Hospital/ Kibuye,needs replacement part,Abandoned
Rwanda,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Katie Diguette, Haley Poarch",197.0,Bokang,2014,,Karongi Hospital/ Kibuye,replaced air bladder,Repaired
Rwanda,Electric Simple,"Blood Pressure Device, Automatic (NIBP)","Katie Diguette, Haley Poarch",7008.0,Shanghai Little Doctor Electronics,2014,LDS,Karongi Hospital/ Kibuye,,Repaired
Tanzania,Electric Simple,"Lamp, surgical","Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",1.0020381344e+11,Mach 2,2014,Arobat Swing S II,Huruma/ROMBO,Faulty switch; shorted switch to operate off the wall switch,Repaired
Tanzania,Mechanical Simple,Operating Table,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",2635.0,C.Maquet Rastatt ,2014,Type 111300,Huruma/ROMBO,The push down button was rusty and the screw was loose,Repaired
Tanzania,Electric Simple,"Lamp, examination","Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,,2014,,Huruma/ROMBO,Missing a lightbulb; found the right lightbulb and put the lamp back in use,Repaired
Tanzania,Mechanical Simple,Stethoscopes,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,,2014,,Huruma/ROMBO,"Broken diaphragm, replaced with plastic cover of our textbook",Repaired
Tanzania,Power Supply,Computer,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",FYQD6Q1,Dell,2014,,Huruma/ROMBO,Power supply cord was loose; added strain relief and some electrical tape,Repaired
Tanzania,Installation/Training,Printer,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",CNSK695960,hp,2014,hp-laserjet 3050,Huruma/ROMBO,Staff could not operate the scanner program; created a quick-guide for using the scanner,Repaired
Tanzania,Other,Printer,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",CNCJG65616,hp,2014,hp-laserjet P2055,Huruma/ROMBO,Middle of the paper was wrinkled and smeared with ink; could not locate the issue ,Abandoned
Tanzania,Electric Simple,Fetal steth (fetoscope or  Doppler),"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",NCI1183,imex,2014,Pocket Dop II,Huruma/ROMBO,Loose cords near the switch; bypassed the switch and soldered the cord directly to the scope,Repaired
Tanzania,Mechanical Simple,Scales (laboratory and in wards),"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,,2014,,Huruma/ROMBO,Calibration issue; fixed the springs and added supports to the adjustment knob,Repaired
Tanzania,Power Supply,Other,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,Quartz,2014,,Huruma/ROMBO,Missing battery & the clock background was bent; added battery and taped the bent parts,Repaired
Tanzania,Other,Centrifuge,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",HE10188,Hettich,2014,Universal II,Huruma/ROMBO,Staff noted that the centrifuge would not work under certain settings; tested different combinations and found no issue - cleaned the inside and trained them about the importance of balancing the centrifuge,Repaired
Tanzania,Power Supply,Centrifuge,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",LFLC 5995,REMI,2014,R4 Laboratory,Huruma/ROMBO,Missing plug; took our extension plug and soldered the connection,Repaired
Tanzania,Mechanical Simple,Stethoscopes,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,,2014,,Huruma/ROMBO,Missing diaphragm,Repaired
Tanzania,Mechanical Simple,Stethoscopes,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,Kurmkg Pharmaceutical Corp,2014,Artemedine,Huruma/ROMBO,Missing diaphragm,Repaired
Tanzania,Other,Scales (laboratory and in wards),"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,Seca,2014,,Huruma/ROMBO,Weights did not move; cleaned the inside of the scale,Repaired
Tanzania,Other,Centrifuge,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",505168.0,DigiSystem Laboratory,2014,DSC300SD,Huruma/ROMBO,"At lower RPM, centrifuge did not spin; needed lubrication and trained the staff about giving it a manual push to jump-start the centrifuge",Repaired
Tanzania,Power Supply,Other,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",26501.0,Parkell,2014,Le Clean Machine,Huruma/ROMBO,Missing transformer & blown fuse; supplied them with a 110 - 220 transformer,Repaired
Tanzania,Plumbing,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",112008.0,,2014,,Huruma/ROMBO,Leaks in the sphyg. Heavily damaged; cut out the attached stethoscope and salvaged the other parts,Repaired
Tanzania,Mechanical Simple,Stethoscopes,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,,2014,,Huruma/ROMBO,Missing diaphragm,Repaired
Tanzania,Plumbing,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",100500.0,AMPri,2014,CE1252,Huruma/ROMBO,Leaks; added rubber and patched up the leak,Repaired
Tanzania,Other,Iron (for clothing),"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",40611118157.0,Sayona,2014,SI-406,Huruma/ROMBO,"Heating circuit not working; tried rewiring, conducted connectivity tests, but could not figure out how to generate enough power to heat up the pads",Abandoned
Tanzania,Other,Other,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",HE10170,ZEISS,2014,10SL,Huruma/ROMBO,Spaltampe (equipment for eyes); lightbulb missing & low resolution - could not find replacement parts,Abandoned
Tanzania,Electric Simple,Other,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",,,2014,,Huruma/ROMBO,Flashlight; Missing batteries & loose connection on the switch,Repaired
Tanzania,Power Supply,Pulse Oximeter,"Yitaek Hwang, Jason Luo, Anne Sofie Nielsen",124708592.0,Nonin,2014,8500.0,Huruma/ROMBO,Missing cover; jerry-rigged a battery series connection & loose sensor connection that was fixed,Repaired
